Assembly Accession 	Assembly Name                           	Organism Name                   	Organism Taxonomic ID 	Organism Infraspecific Names Breed 	Organism Infraspecific Names Strain 	Organism Infraspecific Names Cultivar 	Organism Infraspecific Names Ecotype 	Organism Infraspecific Names Isolate 	Organism Infraspecific Names Sex 	Annotation Name                                        	Assembly Stats Total Sequence Length 	Assembly Stats Total Number of Chromosomes 	Assembly Level  	Assembly Release Date 	WGS project accession 	Assembly Stats Contig N50 	Assembly Stats Scaffold N50 	Assembly Stats Number of Scaffolds 	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech                 	Assembly Submitter                                                     	Assembly BioProject Accession 	Assembly BioSample Accession 	Annotation Count Gene Total            	Annotation Count Gene Protein-coding 	Annotation Count Gene Pseudogene 	Type Material Display Text  	CheckM marker set   	CheckM completeness 	CheckM contamination
GCA_014141745.1    	ASM1414174v1                            	Ralstonia pickettii             	                  329 	                                   	s49                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5813208 	                                           	Scaffold        	2020-08-10            	RARN01                	                   179937 	                     179937 	                                68 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135529                 	5654                                   	                                5431 	                             168 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCF_014141745.1    	ASM1414174v1                            	Ralstonia pickettii             	                  329 	                                   	s49                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5813208 	                                           	Scaffold        	2020-08-10            	RARN01                	                   179937 	                     179937 	                                68 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135529                 	5586                                   	                                5456 	                              76 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCA_014141825.1    	ASM1414182v1                            	Ralstonia pickettii             	                  329 	                                   	s48                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5815483 	                                           	Scaffold        	2020-08-10            	RARO01                	                   179937 	                     179937 	                                73 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135528                 	5665                                   	                                5439 	                             169 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCF_014141825.1    	ASM1414182v1                            	Ralstonia pickettii             	                  329 	                                   	s48                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5815483 	                                           	Scaffold        	2020-08-10            	RARO01                	                   179937 	                     179937 	                                73 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135528                 	5593                                   	                                5462 	                              75 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCA_014142165.1    	ASM1414216v1                            	Ralstonia pickettii             	                  329 	                                   	s30                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5814334 	                                           	Scaffold        	2020-08-10            	RBBO01                	                   179937 	                     181887 	                                70 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135510                 	5659                                   	                                5433 	                             169 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCF_014142165.1    	ASM1414216v1                            	Ralstonia pickettii             	                  329 	                                   	s30                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5814334 	                                           	Scaffold        	2020-08-10            	RBBO01                	                   179937 	                     181887 	                                70 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135510                 	5585                                   	                                5455 	                              74 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCA_019641895.1    	ASM1964189v1                            	Ralstonia pickettii             	                  329 	                                   	151470044-2                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5819415 	                                           	Contig          	2021-08-16            	QGAV01                	                   179937 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001611                 	5562                                   	                                5407 	                             100 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCF_019641895.1    	ASM1964189v1                            	Ralstonia pickettii             	                  329 	                                   	151470044-2                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5819415 	                                           	Contig          	2021-08-16            	QGAV01                	                   179937 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001611                 	5593                                   	                                5458 	                              80 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCA_019642335.1    	ASM1964233v1                            	Ralstonia pickettii             	                  329 	                                   	132550021-3                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5818044 	                                           	Contig          	2021-08-16            	QGBI01                	                   179937 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001597                 	5561                                   	                                5413 	                              92 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCF_019642335.1    	ASM1964233v1                            	Ralstonia pickettii             	                  329 	                                   	132550021-3                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5818044 	                                           	Contig          	2021-08-16            	QGBI01                	                   179937 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001597                 	5594                                   	                                5461 	                              77 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCA_019642455.1    	ASM1964245v1                            	Ralstonia pickettii             	                  329 	                                   	133170061-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5815339 	                                           	Contig          	2021-08-16            	QGBH01                	                   179937 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001598                 	5554                                   	                                5406 	                              94 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCF_019642455.1    	ASM1964245v1                            	Ralstonia pickettii             	                  329 	                                   	133170061-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5815339 	                                           	Contig          	2021-08-16            	QGBH01                	                   179937 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001598                 	5586                                   	                                5455 	                              77 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCA_019642795.1    	ASM1964279v1                            	Ralstonia pickettii             	                  329 	                                   	112620001-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5819024 	                                           	Contig          	2021-08-16            	QGBY01                	                   179937 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001580                 	5558                                   	                                5409 	                              93 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCF_019642795.1    	ASM1964279v1                            	Ralstonia pickettii             	                  329 	                                   	112620001-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5819024 	                                           	Contig          	2021-08-16            	QGBY01                	                   179937 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001580                 	5595                                   	                                5463 	                              76 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCA_014142405.1    	ASM1414240v1                            	Ralstonia pickettii             	                  329 	                                   	s19                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5342851 	                                           	Contig          	2020-08-10            	RASI01                	                   169570 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135499                 	5081                                   	                                4870 	                             154 	                            	Ralstonia pickettii 	              91.28 	                5.24
GCF_014142405.1    	ASM1414240v1                            	Ralstonia pickettii             	                  329 	                                   	s19                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5342851 	                                           	Contig          	2020-08-10            	RASI01                	                   169570 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135499                 	5034                                   	                                4915 	                              63 	                            	Ralstonia pickettii 	              91.28 	                5.24
GCA_014142645.1    	ASM1414264v1                            	Ralstonia pickettii             	                  329 	                                   	s7                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5343083 	                                           	Scaffold        	2020-08-10            	RASQ01                	                   169570 	                     169570 	                                58 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135487                 	5084                                   	                                4870 	                             157 	                            	Ralstonia pickettii 	              91.28 	                5.24
GCF_014142645.1    	ASM1414264v1                            	Ralstonia pickettii             	                  329 	                                   	s7                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5343083 	                                           	Scaffold        	2020-08-10            	RASQ01                	                   169570 	                     169570 	                                58 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135487                 	5031                                   	                                4911 	                              64 	                            	Ralstonia pickettii 	              91.28 	                5.24
GCA_019641795.1    	ASM1964179v1                            	Ralstonia pickettii             	                  329 	                                   	093490003-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5344678 	                                           	Contig          	2021-08-16            	QGAP01                	                   169570 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001617                 	5005                                   	                                4858 	                              91 	                            	Ralstonia pickettii 	              91.28 	                5.24
GCF_019641795.1    	ASM1964179v1                            	Ralstonia pickettii             	                  329 	                                   	093490003-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5344678 	                                           	Contig          	2021-08-16            	QGAP01                	                   169570 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001617                 	5033                                   	                                4912 	                              65 	                            	Ralstonia pickettii 	              91.28 	                5.24
GCA_019643075.1    	ASM1964307v1                            	Ralstonia pickettii             	                  329 	                                   	110730035-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5345646 	                                           	Contig          	2021-08-16            	QGCJ01                	                   169570 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001567                 	5008                                   	                                4860 	                              92 	                            	Ralstonia pickettii 	              91.28 	                5.24
GCF_019643075.1    	ASM1964307v1                            	Ralstonia pickettii             	                  329 	                                   	110730035-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5345646 	                                           	Contig          	2021-08-16            	QGCJ01                	                   169570 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001567                 	5036                                   	                                4915 	                              65 	                            	Ralstonia pickettii 	              91.28 	                5.24
GCA_000165085.1    	ASM16508v1                              	Ralstonia pickettii             	                  329 	                                   	5_7_47FAA                           	                                      	                                     	                                     	                                 	Annotation submitted by Broad Institute                	                             5249816 	                                           	Scaffold        	2010-10-20            	ACUF01                	                   137583 	                     689374 	                                32 	                          	                             	                            	                            	                         	                         	454                                      	Broad Institute                                                        	PRJNA39415                    	SAMN02463782                 	4904                                   	                                4788 	                              63 	                            	Ralstonia pickettii 	              91.09 	                3.81
GCF_000165085.1    	ASM16508v1                              	Ralstonia pickettii             	                  329 	                                   	5_7_47FAA                           	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5249816 	                                           	Scaffold        	2010-10-20            	ACUF01                	                   137583 	                     689374 	                                32 	                          	                             	                            	                            	                         	                         	454                                      	Broad Institute                                                        	PRJNA39415                    	SAMN02463782                 	5013                                   	                                4797 	                             156 	                            	Ralstonia pickettii 	              91.09 	                3.81
GCA_035605275.1    	ASM3560527v1                            	Ralstonia pickettii             	                  329 	                                   	HY4163                              	                                      	                                     	                                     	                                 	                                                       	                             5322797 	                                           	Scaffold        	2024-01-11            	JAYMZM01              	                   112384 	                     112384 	                                99 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	University of Wuerzburg                                                	PRJNA1057205                  	SAMN39124341                 	                                       	                                     	                                 	                            	Ralstonia pickettii 	              94.51 	                5.69
GCF_035605275.1    	ASM3560527v1                            	Ralstonia pickettii             	                  329 	                                   	HY4163                              	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5322797 	                                           	Scaffold        	2024-01-11            	JAYMZM01              	                   112384 	                     112384 	                                99 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	University of Wuerzburg                                                	PRJNA1057205                  	SAMN39124341                 	5079                                   	                                4948 	                              74 	                            	Ralstonia pickettii 	              94.51 	                5.69
GCA_001699815.1    	ASM169981v1                             	Ralstonia pickettii             	                  329 	                                   	H2Cu5                               	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5244364 	                                           	Contig          	2016-08-05            	MCGB01                	                    94158 	                            	                                   	                          	                             	                            	                            	                         	                         	IonTorrent                               	Universidade Catolica Portuguesa                                       	PRJNA335691                   	SAMN05450313                 	4912                                   	                                4682 	                             174 	                            	Ralstonia pickettii 	              93.57 	                4.19
GCF_001699815.1    	ASM169981v1                             	Ralstonia pickettii             	                  329 	                                   	H2Cu5                               	                                      	                                     	                                     	                                 	GCF_001699815.1-RS_2024_06_10                          	                             5244364 	                                           	Contig          	2016-08-05            	MCGB01                	                    94158 	                            	                                   	                          	                             	                            	                            	                         	                         	IonTorrent                               	Universidade Catolica Portuguesa                                       	PRJNA335691                   	SAMN05450313                 	5035                                   	                                4824 	                             156 	                            	Ralstonia pickettii 	              93.57 	                4.19
GCA_035605355.1    	ASM3560535v1                            	Ralstonia pickettii             	                  329 	                                   	HY4115                              	                                      	                                     	                                     	                                 	                                                       	                             5779863 	                                           	Contig          	2024-01-11            	JAYMZQ01              	                    92833 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	University of Wuerzburg                                                	PRJNA1057205                  	SAMN39124337                 	                                       	                                     	                                 	                            	Ralstonia pickettii 	              91.08 	                5.74
GCF_035605355.1    	ASM3560535v1                            	Ralstonia pickettii             	                  329 	                                   	HY4115                              	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5779863 	                                           	Contig          	2024-01-11            	JAYMZQ01              	                    92833 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	University of Wuerzburg                                                	PRJNA1057205                  	SAMN39124337                 	5595                                   	                                5439 	                             101 	                            	Ralstonia pickettii 	              91.08 	                5.74
GCA_035620315.1    	ASM3562031v1                            	Ralstonia pickettii             	                  329 	                                   	HY4145                              	                                      	                                     	                                     	                                 	                                                       	                             5342691 	                                           	Scaffold        	2024-01-13            	JAYMZP01              	                    85772 	                      85772 	                               164 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	University of Wuerzburg                                                	PRJNA1057205                  	SAMN39124338                 	                                       	                                     	                                 	                            	Ralstonia pickettii 	              87.23 	                6.53
GCF_035620315.1    	ASM3562031v1                            	Ralstonia pickettii             	                  329 	                                   	HY4145                              	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5342691 	                                           	Scaffold        	2024-01-13            	JAYMZP01              	                    85772 	                      85772 	                               164 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	University of Wuerzburg                                                	PRJNA1057205                  	SAMN39124338                 	5172                                   	                                5024 	                              94 	                            	Ralstonia pickettii 	              87.23 	                6.53
GCA_035605335.1    	ASM3560533v1                            	Ralstonia pickettii             	                  329 	                                   	HY4146                              	                                      	                                     	                                     	                                 	                                                       	                             5773510 	                                           	Contig          	2024-01-11            	JAYMZO01              	                    82948 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	University of Wuerzburg                                                	PRJNA1057205                  	SAMN39124339                 	                                       	                                     	                                 	                            	Ralstonia pickettii 	              90.96 	                5.4
GCF_035605335.1    	ASM3560533v1                            	Ralstonia pickettii             	                  329 	                                   	HY4146                              	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5773510 	                                           	Contig          	2024-01-11            	JAYMZO01              	                    82948 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	University of Wuerzburg                                                	PRJNA1057205                  	SAMN39124339                 	5587                                   	                                5442 	                              90 	                            	Ralstonia pickettii 	              90.96 	                5.4
GCA_035620275.1    	ASM3562027v1                            	Ralstonia pickettii             	                  329 	                                   	HY4149                              	                                      	                                     	                                     	                                 	                                                       	                             5464751 	                                           	Scaffold        	2024-01-13            	JAYMZN01              	                    26287 	                      26287 	                               471 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	University of Wuerzburg                                                	PRJNA1057205                  	SAMN39124340                 	                                       	                                     	                                 	                            	Ralstonia pickettii 	              88.82 	                6.16
GCF_035620275.1    	ASM3562027v1                            	Ralstonia pickettii             	                  329 	                                   	HY4149                              	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5464751 	                                           	Scaffold        	2024-01-13            	JAYMZN01              	                    26287 	                      26287 	                               471 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	University of Wuerzburg                                                	PRJNA1057205                  	SAMN39124340                 	5438                                   	                                5202 	                             185 	                            	Ralstonia pickettii 	              88.82 	                6.16
GCA_000372665.1    	RalstonoaPickettii.strain_OR214_v1.0    	Ralstonia pickettii OR214       	              1264675 	                                   	OR214                               	                                      	                                     	                                     	                                 	Annotation submitted by Oak Ridge National Lab         	                             5480587 	                                           	Contig          	2013-04-19            	APMQ01                	                   321662 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina MiSeq; Roche 454                	Oak Ridge National Lab                                                 	PRJNA189031                   	SAMN01821533                 	5305                                   	                                5243 	                                 	                            	Ralstonia pickettii 	              93.14 	                5.15
GCF_000372665.1    	RalstonoaPickettii.strain_OR214_v1.0    	Ralstonia pickettii OR214       	              1264675 	                                   	OR214                               	                                      	                                     	                                     	                                 	GCF_000372665.1-RS_2024_03_27                          	                             5480587 	                                           	Contig          	2013-04-19            	APMQ01                	                   321662 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina MiSeq; Roche 454                	Oak Ridge National Lab                                                 	PRJNA189031                   	SAMN01821533                 	5271                                   	                                5113 	                             104 	                            	Ralstonia pickettii 	              93.14 	                5.15
GCA_019641905.1    	ASM1964190v1                            	Ralstonia pickettii             	                  329 	                                   	151470044-3                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             4446362 	                                           	Contig          	2021-08-16            	QGAU01                	                   170100 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001612                 	4332                                   	                                4206 	                              73 	                            	Ralstonia pickettii 	              63.96 	                3.15
